localid,Language,collection,label,description ,definition,status
0,it,att_bio_quant,0,assente,assente,https://inspire.ec.europa.eu/registry/status/valid
1,it,att_bio_quant,1,scarsa,scarsa,https://inspire.ec.europa.eu/registry/status/valid
2,it,att_bio_quant,2,comune,comune,https://inspire.ec.europa.eu/registry/status/valid
3,it,att_bio_quant,3,abbondante,abbondante,https://inspire.ec.europa.eu/registry/status/valid
0,en,att_bio_quant,0,absent,absent,https://inspire.ec.europa.eu/registry/status/valid
1,en,att_bio_quant,1,scarce,scarce,https://inspire.ec.europa.eu/registry/status/valid
2,en,att_bio_quant,2,common,common,https://inspire.ec.europa.eu/registry/status/valid
3,en,att_bio_quant,3,abundant,abundant,https://inspire.ec.europa.eu/registry/status/valid
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
