localid,Language,collection,label,description ,definition,status
1,it,conc_natcomp,1,cristalli di comp. non identificata,cristalli di comp. non identificata,https://inspire.ec.europa.eu/registry/status/valid
11,it,conc_natcomp,11,cristalli di carbonato di calcio,cristalli di carbonato di calcio,https://inspire.ec.europa.eu/registry/status/valid
12,it,conc_natcomp,12,noduli di carbonato di calcio,noduli di carbonato di calcio,https://inspire.ec.europa.eu/registry/status/valid
13,it,conc_natcomp,13,concrezioni di carbonato di calcio,concrezioni di carbonato di calcio,https://inspire.ec.europa.eu/registry/status/valid
14,it,conc_natcomp,14,concentrazioni soffici di carbonato di calcio,concentrazioni soffici di carbonato di calcio,https://inspire.ec.europa.eu/registry/status/valid
15,it,conc_natcomp,15,pendenti di carbonato di calcio,pendenti di carbonato di calcio,https://inspire.ec.europa.eu/registry/status/valid
16,it,conc_natcomp,16,croste di carbonato di calcio,croste di carbonato di calcio,https://inspire.ec.europa.eu/registry/status/valid
17,it,conc_natcomp,17,geodi di carbonato di calcio,geodi di carbonato di calcio,https://inspire.ec.europa.eu/registry/status/valid
2,it,conc_natcomp,2,noduli di composizione non identificata,noduli di composizione non identificata,https://inspire.ec.europa.eu/registry/status/valid
21,it,conc_natcomp,21,cristalli gessosi,cristalli gessosi,https://inspire.ec.europa.eu/registry/status/valid
22,it,conc_natcomp,22,noduli gessosi,noduli gessosi,https://inspire.ec.europa.eu/registry/status/valid
23,it,conc_natcomp,23,concrezioni gessose,concrezioni gessose,https://inspire.ec.europa.eu/registry/status/valid
24,it,conc_natcomp,24,concentrazioni soffici gessose,concentrazioni soffici gessose,https://inspire.ec.europa.eu/registry/status/valid
3,it,conc_natcomp,3,concrezioni di composizione non identificata,concrezioni di composizione non identificata,https://inspire.ec.europa.eu/registry/status/valid
32,it,conc_natcomp,32,noduli ferrosi,noduli ferrosi,https://inspire.ec.europa.eu/registry/status/valid
33,it,conc_natcomp,33,concrezioni ferrose,concrezioni ferrose,https://inspire.ec.europa.eu/registry/status/valid
34,it,conc_natcomp,34,concentrazioni soffici ferrose,concentrazioni soffici ferrose,https://inspire.ec.europa.eu/registry/status/valid
36,it,conc_natcomp,36,croste ferrose,croste ferrose,https://inspire.ec.europa.eu/registry/status/valid
37,it,conc_natcomp,37,geoidi ferrosi,geoidi ferrosi,https://inspire.ec.europa.eu/registry/status/valid
4,it,conc_natcomp,4,concentrazioni soffici di composizione non identificata,concentrazioni soffici di composizione non identificata,https://inspire.ec.europa.eu/registry/status/valid
42,it,conc_natcomp,42,noduli ferro-manganesiferi,noduli ferro-manganesiferi,https://inspire.ec.europa.eu/registry/status/valid
43,it,conc_natcomp,43,concrezioni ferro-manganesifere,concrezioni ferro-manganesifere,https://inspire.ec.europa.eu/registry/status/valid
44,it,conc_natcomp,44,concentrazioni soffici ferro-manganesifere,concentrazioni soffici ferro-manganesifere,https://inspire.ec.europa.eu/registry/status/valid
46,it,conc_natcomp,46,croste ferro-manganesifere,croste ferro-manganesifere,https://inspire.ec.europa.eu/registry/status/valid
5,it,conc_natcomp,5,pendenti di composizione non identificata,pendenti di composizione non identificata,https://inspire.ec.europa.eu/registry/status/valid
51,it,conc_natcomp,51,cristalli di cloruro di sodio,cristalli di cloruro di sodio,https://inspire.ec.europa.eu/registry/status/valid
52,it,conc_natcomp,52,noduli di cloruro di sodio,noduli di cloruro di sodio,https://inspire.ec.europa.eu/registry/status/valid
