localid,Language,collection,label,description ,definition,status
1,it,cons_cementaz,1,non cementato,non cementato,https://inspire.ec.europa.eu/registry/status/valid
2,it,cons_cementaz,2,estremamente debole,estremamente debole,https://inspire.ec.europa.eu/registry/status/valid
3,it,cons_cementaz,3,molto debole,molto debole,https://inspire.ec.europa.eu/registry/status/valid
4,it,cons_cementaz,4,debole,debole,https://inspire.ec.europa.eu/registry/status/valid
5,it,cons_cementaz,5,moderato,moderato,https://inspire.ec.europa.eu/registry/status/valid
6,it,cons_cementaz,6,forte,forte,https://inspire.ec.europa.eu/registry/status/valid
7,it,cons_cementaz,7,molto forte,molto forte,https://inspire.ec.europa.eu/registry/status/valid
8,it,cons_cementaz,8,indurito,indurito,https://inspire.ec.europa.eu/registry/status/valid
1,en,cons_cementaz,1,not cemented,not cemented,https://inspire.ec.europa.eu/registry/status/valid
2,en,cons_cementaz,2,extremely weak,extremely weak,https://inspire.ec.europa.eu/registry/status/valid
3,en,cons_cementaz,3,very weak,very weak,https://inspire.ec.europa.eu/registry/status/valid
4,en,cons_cementaz,4,weak,weak,https://inspire.ec.europa.eu/registry/status/valid
5,en,cons_cementaz,5,moderate,moderate,https://inspire.ec.europa.eu/registry/status/valid
6,en,cons_cementaz,6,strong,strong,https://inspire.ec.europa.eu/registry/status/valid
7,en,cons_cementaz,7,very strong,very strong,https://inspire.ec.europa.eu/registry/status/valid
8,en,cons_cementaz,8,indurate,indurate,https://inspire.ec.europa.eu/registry/status/valid
