localid,Language,collection,label,description ,definition,status
0,it,inond_freq,0,assente,assente,https://inspire.ec.europa.eu/registry/status/valid
1,it,inond_freq,1,rara (1-5 volte/100 anni),rara (1-5 volte/100 anni),https://inspire.ec.europa.eu/registry/status/valid
2,it,inond_freq,2,occasionale (5-50 volte/100 anni),occasionale (5-50 volte/100 anni),https://inspire.ec.europa.eu/registry/status/valid
3,it,inond_freq,3,frequente (>50 volte/100 anni),frequente (>50 volte/100 anni),https://inspire.ec.europa.eu/registry/status/valid
4,it,inond_freq,4,>5 volte/100 anni,>5 volte/100 anni,https://inspire.ec.europa.eu/registry/status/valid
5,it,inond_freq,5,dato non disponibile,dato non disponibile,https://inspire.ec.europa.eu/registry/status/valid
0,en,inond_freq,0,absent,absent,https://inspire.ec.europa.eu/registry/status/valid
1,en,inond_freq,1,rare (1-5 times/100 years),rare (1-5 times/100 years),https://inspire.ec.europa.eu/registry/status/valid
2,en,inond_freq,2,occasional (5-50 times/100 years),occasional (5-50 times/100 years),https://inspire.ec.europa.eu/registry/status/valid
3,en,inond_freq,3,frequent (>50 times/100 years),frequent (>50 times/100 years),https://inspire.ec.europa.eu/registry/status/valid
4,en,inond_freq,4,common (>5 times/100 years),common (>5 times/100 years),https://inspire.ec.europa.eu/registry/status/valid
5,en,inond_freq,5,unknown,unknown,https://inspire.ec.europa.eu/registry/status/valid
