localid,Language,collection,label,description ,definition,status
DE,it,cons_modalita,DE,deformabile,deformabile,https://inspire.ec.europa.eu/registry/status/valid
FF,it,cons_modalita,FF,moderatamente fluido,moderatamente fluido,https://inspire.ec.europa.eu/registry/status/valid
FR,it,cons_modalita,FR,fragile,fragile,https://inspire.ec.europa.eu/registry/status/valid
MF,it,cons_modalita,MF,molto fluido,molto fluido,https://inspire.ec.europa.eu/registry/status/valid
MV,it,cons_modalita,MV,molto viscoso (molto tixotropico),molto viscoso (molto tixotropico),https://inspire.ec.europa.eu/registry/status/valid
NF,it,cons_modalita,NF,non fluido,non fluido,https://inspire.ec.europa.eu/registry/status/valid
NV,it,cons_modalita,NV,non viscoso (non tixotropico),non viscoso (non tixotropico),https://inspire.ec.europa.eu/registry/status/valid
PF,it,cons_modalita,PF,poco fluido,poco fluido,https://inspire.ec.europa.eu/registry/status/valid
PV,it,cons_modalita,PV,poco viscoso (poco tixotropico),poco viscoso (poco tixotropico),https://inspire.ec.europa.eu/registry/status/valid
SF,it,cons_modalita,SF,semi-fragile,semi-fragile,https://inspire.ec.europa.eu/registry/status/valid
VV,it,cons_modalita,VV,moderatamente viscoso (mod. tixotropico),moderatamente viscoso (mod. tixotropico),https://inspire.ec.europa.eu/registry/status/valid
DE,en,cons_modalita,DE,deformable,deformable,https://inspire.ec.europa.eu/registry/status/valid
FF,en,cons_modalita,FF,moderately fluid,moderately fluid,https://inspire.ec.europa.eu/registry/status/valid
FR,en,cons_modalita,FR,fragile,fragile,https://inspire.ec.europa.eu/registry/status/valid
MF,en,cons_modalita,MF,very fluid,very fluid,https://inspire.ec.europa.eu/registry/status/valid
MV,en,cons_modalita,MV,very sticky (very tixotrophic),very sticky (very tixotrophic),https://inspire.ec.europa.eu/registry/status/valid
NF,en,cons_modalita,NF,not fluid,not fluid,https://inspire.ec.europa.eu/registry/status/valid
NV,en,cons_modalita,NV,not sticky (not tixotrophic),not sticky (not tixotrophic),https://inspire.ec.europa.eu/registry/status/valid
PF,en,cons_modalita,PF,weakly fluid,weakly fluid,https://inspire.ec.europa.eu/registry/status/valid
PV,en,cons_modalita,PV,weakly sticky (weakly tixotrophic),weakly sticky (weakly tixotrophic),https://inspire.ec.europa.eu/registry/status/valid
SF,en,cons_modalita,SF,semi-fragile,semi-fragile,https://inspire.ec.europa.eu/registry/status/valid
VV,en,cons_modalita,VV,moderately sticky (moderately tixotrophic),moderately sticky (moderately tixotrophic),https://inspire.ec.europa.eu/registry/status/valid
