localid,Language,collection,label,description ,definition,status
CC,it,cur_sito,CC,concavo-concavo,concavo-concavo,https://inspire.ec.europa.eu/registry/status/valid
CL,it,cur_sito,CL,concavo-lineare,concavo-lineare,https://inspire.ec.europa.eu/registry/status/valid
CV,it,cur_sito,CV,concavo-convesso,concavo-convesso,https://inspire.ec.europa.eu/registry/status/valid
LC,it,cur_sito,LC,lineare-concavo,lineare-concavo,https://inspire.ec.europa.eu/registry/status/valid
LL,it,cur_sito,LL,lineare-lineare,lineare-lineare,https://inspire.ec.europa.eu/registry/status/valid
LV,it,cur_sito,LV,lineare-convesso,lineare-convesso,https://inspire.ec.europa.eu/registry/status/valid
VC,it,cur_sito,VC,convesso-concavo,convesso-concavo,https://inspire.ec.europa.eu/registry/status/valid
VL,it,cur_sito,VL,convesso-lineare,convesso-lineare,https://inspire.ec.europa.eu/registry/status/valid
VV,it,cur_sito,VV,convesso-convesso,convesso-convesso,https://inspire.ec.europa.eu/registry/status/valid
CC,en,cur_sito,CC,concave-concave,concave-concave,https://inspire.ec.europa.eu/registry/status/valid
CL,en,cur_sito,CL,concave-linear,concave-linear,https://inspire.ec.europa.eu/registry/status/valid
CV,en,cur_sito,CV,concave-convex,concave-convex,https://inspire.ec.europa.eu/registry/status/valid
LC,en,cur_sito,LC,linear-concave,linear-concave,https://inspire.ec.europa.eu/registry/status/valid
LL,en,cur_sito,LL,linear-linear,linear-linear,https://inspire.ec.europa.eu/registry/status/valid
LV,en,cur_sito,LV,linear-convex,linear-convex,https://inspire.ec.europa.eu/registry/status/valid
VC,en,cur_sito,VC,convex-concave,convex-concave,https://inspire.ec.europa.eu/registry/status/valid
VL,en,cur_sito,VL,convex-linear,convex-linear,https://inspire.ec.europa.eu/registry/status/valid
VV,en,cur_sito,VV,convex-convex,convex-convex,https://inspire.ec.europa.eu/registry/status/valid
