localid,Language,collection,label,description ,definition,status
AA,it,litol_alter,AA,poco alterato,poco alterato,https://inspire.ec.europa.eu/registry/status/valid
H0,it,litol_alter,H0,"distinguibilità delle strutture dei tessuti vegetali ottima, decomposizione assente","distinguibilità delle strutture dei tessuti vegetali ottima, decomposizione assente",https://inspire.ec.europa.eu/registry/status/valid
H1,it,litol_alter,H1,"distinguibilità delle strutture dei tessuti vegetali molto buona, decomposizione praticamente assente","distinguibilità delle strutture dei tessuti vegetali molto buona, decomposizione praticamente assente",https://inspire.ec.europa.eu/registry/status/valid
H2,it,litol_alter,H2,"distinguibilità delle strutture dei tessuti vegetali buona, decomposizione molto scarsa","distinguibilità delle strutture dei tessuti vegetali buona, decomposizione molto scarsa",https://inspire.ec.europa.eu/registry/status/valid
H3,it,litol_alter,H3,"distinguibilità delle strutture dei tessuti vegetali buona, decomposizione scarsa","distinguibilità delle strutture dei tessuti vegetali buona, decomposizione scarsa",https://inspire.ec.europa.eu/registry/status/valid
H4,it,litol_alter,H4,"distinguibilità delle strutture dei tessuti vegetali moderata, decomposizione moderata","distinguibilità delle strutture dei tessuti vegetali moderata, decomposizione moderata",https://inspire.ec.europa.eu/registry/status/valid
H5,it,litol_alter,H5,"distinguibilità delle strutture dei tessuti vegetali scarsa (più evidente nei materiali strizzati), decomposizione elevata","distinguibilità delle strutture dei tessuti vegetali scarsa (più evidente nei materiali strizzati), decomposizione elevata",https://inspire.ec.europa.eu/registry/status/valid
H6,it,litol_alter,H6,"distinguibilità delle strutture dei tessuti vegetali scarsa, decomposizione elevata","distinguibilità delle strutture dei tessuti vegetali scarsa, decomposizione elevata",https://inspire.ec.europa.eu/registry/status/valid
H7,it,litol_alter,H7,"distinguibilità delle strutture dei tessuti vegetali assente, decomposizione molto elevata","distinguibilità delle strutture dei tessuti vegetali assente, decomposizione molto elevata",https://inspire.ec.europa.eu/registry/status/valid
H8,it,litol_alter,H8,"distinguibilità delle strutture dei tessuti vegetali assente, decomposizione quasi completa","distinguibilità delle strutture dei tessuti vegetali assente, decomposizione quasi completa",https://inspire.ec.europa.eu/registry/status/valid
H9,it,litol_alter,H9,"distinguibilità delle strutture dei tessuti vegetali assente, decomposizione completa","distinguibilità delle strutture dei tessuti vegetali assente, decomposizione completa",https://inspire.ec.europa.eu/registry/status/valid
LA,it,litol_alter,LA,fresco o leggermente alterato,fresco o leggermente alterato,https://inspire.ec.europa.eu/registry/status/valid
MA,it,litol_alter,MA,molto alterato,molto alterato,https://inspire.ec.europa.eu/registry/status/valid
RA,it,litol_alter,RA,mediamente alterato,mediamente alterato,https://inspire.ec.europa.eu/registry/status/valid
AA,en,litol_alter,AA,weathering: slight,weathering: slight,https://inspire.ec.europa.eu/registry/status/valid
H0,en,litol_alter,H0,not weathered,not weathered,https://inspire.ec.europa.eu/registry/status/valid
H1,en,litol_alter,H1,weathering: very good,weathering: very good,https://inspire.ec.europa.eu/registry/status/valid
H2,en,litol_alter,H2,weathering: good,weathering: good,https://inspire.ec.europa.eu/registry/status/valid
H3,en,litol_alter,H3,weathering: good,weathering: good,https://inspire.ec.europa.eu/registry/status/valid
H4,en,litol_alter,H4,weathering: moderate,weathering: moderate,https://inspire.ec.europa.eu/registry/status/valid
H5,en,litol_alter,H5,"weathering: poor, more evident in wrung material","weathering: poor, more evident in wrung material",https://inspire.ec.europa.eu/registry/status/valid
H6,en,litol_alter,H6,weathering: poor,weathering: poor,https://inspire.ec.europa.eu/registry/status/valid
H7,en,litol_alter,H7,weathering: absent,weathering: absent,https://inspire.ec.europa.eu/registry/status/valid
H8,en,litol_alter,H8,weathering: absent,weathering: absent,https://inspire.ec.europa.eu/registry/status/valid
H9,en,litol_alter,H9,weathering: absent,weathering: absent,https://inspire.ec.europa.eu/registry/status/valid
LA,en,litol_alter,LA,weathering: very slight,weathering: very slight,https://inspire.ec.europa.eu/registry/status/valid
MA,en,litol_alter,MA,weathering: strong,weathering: strong,https://inspire.ec.europa.eu/registry/status/valid
RA,en,litol_alter,RA,weathering: moderate,weathering: moderate,https://inspire.ec.europa.eu/registry/status/valid
