localid,Language,collection,label,description ,definition,status
A,it,litol_qual,A,altri depositi organici,altri depositi organici,https://inspire.ec.europa.eu/registry/status/valid
AL,it,litol_qual,AL,altro,altro,https://inspire.ec.europa.eu/registry/status/valid
CA,it,litol_qual,CA,calcareo,calcareo,https://inspire.ec.europa.eu/registry/status/valid
CD,it,litol_qual,CD,calcareo e dolomitico,calcareo e dolomitico,https://inspire.ec.europa.eu/registry/status/valid
DO,it,litol_qual,DO,dolomitico,dolomitico,https://inspire.ec.europa.eu/registry/status/valid
EF,it,litol_qual,EF,depositi emiorganici fibrosi,depositi emiorganici fibrosi,https://inspire.ec.europa.eu/registry/status/valid
EP,it,litol_qual,EP,depositi emiorganici non fibrosi,depositi emiorganici non fibrosi,https://inspire.ec.europa.eu/registry/status/valid
GS,it,litol_qual,GS,gessoso,gessoso,https://inspire.ec.europa.eu/registry/status/valid
MI,it,litol_qual,MI,depositi organici eterogenei,depositi organici eterogenei,https://inspire.ec.europa.eu/registry/status/valid
MM,it,litol_qual,MM,"misto, molto eterogeneo","misto, molto eterogeneo",https://inspire.ec.europa.eu/registry/status/valid
OE,it,litol_qual,OE,depositi organici erbacei (in genere),depositi organici erbacei (in genere),https://inspire.ec.europa.eu/registry/status/valid
OG,it,litol_qual,OG,depositi organici da graminacee,depositi organici da graminacee,https://inspire.ec.europa.eu/registry/status/valid
OL,it,litol_qual,OL,depositi organici legnosi,depositi organici legnosi,https://inspire.ec.europa.eu/registry/status/valid
OS,it,litol_qual,OS,depositi organici a sfagni e/o muschi,depositi organici a sfagni e/o muschi,https://inspire.ec.europa.eu/registry/status/valid
PC,it,litol_qual,PC,piroclastico,piroclastico,https://inspire.ec.europa.eu/registry/status/valid
SA,it,litol_qual,SA,salino,salino,https://inspire.ec.europa.eu/registry/status/valid
SI,it,litol_qual,SI,silicatico,silicatico,https://inspire.ec.europa.eu/registry/status/valid
SS,it,litol_qual,SS,sedimento di suolo,sedimento di suolo,https://inspire.ec.europa.eu/registry/status/valid
Y,it,litol_qual,Y,"non determinabile, ignoto","non determinabile, ignoto",https://inspire.ec.europa.eu/registry/status/valid
A,en,litol_qual,A,other organic deposits,other organic deposits,https://inspire.ec.europa.eu/registry/status/valid
AL,en,litol_qual,AL,other,other,https://inspire.ec.europa.eu/registry/status/valid
CA,en,litol_qual,CA,calcareous,calcareous,https://inspire.ec.europa.eu/registry/status/valid
CD,en,litol_qual,CD,calcareous and dolomitic,calcareous and dolomitic,https://inspire.ec.europa.eu/registry/status/valid
DO,en,litol_qual,DO,dolomitic,dolomitic,https://inspire.ec.europa.eu/registry/status/valid
EF,en,litol_qual,EF,fibrous hemiorganic deposits,fibrous hemiorganic deposits,https://inspire.ec.europa.eu/registry/status/valid
EP,en,litol_qual,EP,not fibrous hemiorganic deposits,not fibrous hemiorganic deposits,https://inspire.ec.europa.eu/registry/status/valid
GS,en,litol_qual,GS,gypsum,gypsum,https://inspire.ec.europa.eu/registry/status/valid
MI,en,litol_qual,MI,heterogeneous organic deposits,heterogeneous organic deposits,https://inspire.ec.europa.eu/registry/status/valid
MM,en,litol_qual,MM,"mixed, very heterogeneous","mixed, very heterogeneous",https://inspire.ec.europa.eu/registry/status/valid
OE,en,litol_qual,OE,herbaceous organic deposits,herbaceous organic deposits,https://inspire.ec.europa.eu/registry/status/valid
OG,en,litol_qual,OG,graminaceous organic deposits,graminaceous organic deposits,https://inspire.ec.europa.eu/registry/status/valid
OL,en,litol_qual,OL,woody organic deposits,woody organic deposits,https://inspire.ec.europa.eu/registry/status/valid
OS,en,litol_qual,OS,bog moss and/or moss organic deposits,bog moss and/or moss organic deposits,https://inspire.ec.europa.eu/registry/status/valid
PC,en,litol_qual,PC,pyroclastic,pyroclastic,https://inspire.ec.europa.eu/registry/status/valid
SA,en,litol_qual,SA,salin,salin,https://inspire.ec.europa.eu/registry/status/valid
SI,en,litol_qual,SI,silicatic,silicatic,https://inspire.ec.europa.eu/registry/status/valid
SS,en,litol_qual,SS,soil sediment,soil sediment,https://inspire.ec.europa.eu/registry/status/valid
Y,en,litol_qual,Y,"unknown, indefinable","unknown, indefinable",https://inspire.ec.europa.eu/registry/status/valid
