id;uom;code;qudt_unit;label;procedure;glosis;definition;;;;;;;;;;122
114;°C;Cel;DEG_C;"""aamt - annual air mean temperature - temperatura media annua aria""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#aamt;;;;;;;;;;
115;codelist;;;"""alter_org - Stato di alterazione dei materiali organici""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#alter_org;;;;;;;;;;
116;mm;mm;MilliM;"""ar - annual rainfal - precipitazioni medie annue""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#ar;;;;;;;;;;
117;codelist;;;"""asp_antr - Aspetti superficiali antropogenici""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#asp_antr;;;;;;;;;;
118;codelist;;;"""asp_antr_s - Aspetti superficiali secondari della stazione: antropogenici""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#asp_antr_s;;;;;;;;;;
119;codelist;;;"""asp_pb - Aspetti superficiali pedologici e biologici""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#asp_pb;;;;;;;;;;
120;codelist;;;"""asp_pb_s - Aspetti superficiali secondari della stazione: pedo_biologici""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#asp_pb_s;;;;;;;;;;
121;mm;mm;MilliM;"""awc_stima_metodo - Metodo stima AWC mm""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#awc_stima_metodo;;;;;;;;;;
122;codelist;;;"""awc_stima_ori - awc calcolata o stimata originariamente""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#awc_stima_ori;;;;;;;;;;
123;codelist;;;"""cap_acc_piogge - Capacità di accettazione dell piogge""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#cap_acc_piogge;;;;;;;;;;
124;codelist;;;"""cap_depurativa - Capacità depurativa""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#cap_depurativa;;;;;;;;;;
125;codelist;;;"""cap_protettiva - Capacità protettiva""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#cap_protettiva;;;;;;;;;;
126;codelist;;;"""carta_top_numero - Numero della carta topografica""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#carta_top_numero;;;;;;;;;;
127;codelist;;;"""carta_top_scala - Scala della carta topografica""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#carta_top_scala;;;;;;;;;;
128;codelist;;;"""carta_top_tipo - Tipo di carta topografica""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#carta_top_tipo;;;;;;;;;;
129;codelist;;;"""code_ori - Codice originale del database di origine (include tutte le chiavi primarie) (COME IL CODEX)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#code_ori;;;;;;;;;;
130;codelist;;;"""codex - Codice che riunisce codice_rilevamento, tipo_osservazione e numero_osservazione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#codex;;;;;;;;;;
131;codelist;;;"""codice_istat - Codice Istat del comune ove avviene il rilevamento""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#codice_istat;;;;;;;;;;
132;codelist;;;"""codice_rilevamento - Codice del rilevamento""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#codice_rilevamento;;;;;;;;;;
133;codelist;;;"""comp_prs - Compattamento secondo PRS (Pellegrini 2004)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#comp_prs;;;;;;;;;;
134;codelist;;;"""compos - Composizione granulometrica (materiale non consolidato)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#compos;;;;;;;;;;
135;codelist;;;"""continu - soluzione di continuità substrato""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#continu;;;;;;;;;;
136;boolean;;;"""controllo_qualita - revisione di qualità (flaggato =si)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#controllo_qualita;;;;;;;;;;
137;m;m;M;"""coord_e - Coordinate piane EST specificate in sist_fuso_datum""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#coord_e;;;;;;;;;;
138;m;m;M;"""coord_n - Coordinate piane NORD specificate in sist_fuso_datum""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#coord_n;;;;;;;;;;
139;%a;dm2/m2;;"""copet_mat_org - percentuale di copertura del materiale organico (da reintrodurre)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#copet_mat_org;;;;;;;;;;
140;%a;dm2/m2;;"""copet_veget - Percentuale della copertura della stazione da parte della vegetazione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#copet_veget;;;;;;;;;;
141;codelist;;;"""crust_prs - Rischio incrostamento secondo PRS (Pellegrini 2004)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#crust_prs;;;;;;;;;;
142;codelist;;;"""CT_sst - Land component dell' osservazione nel sottositema di terre: natura forma ettometrica - lito - uso del suolo codificati secondo la legenda del SST""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#CT_sst;;;;;;;;;;
143;codelist;;;"""CT_st - Land component dell' osservazione nel sistema di terre: natura forma ettometrica - lito - uso del suolo codificati secondo la legenda del ST""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#CT_st;;;;;;;;;;
144;codelist;;;"""CT_ut - Land component dell' osservazione nell'unità di terre: natura forma ettometrica - lito - uso del suolo codificati secondo la legenda della UT (corrisponde all'elemento territoriale)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#CT_ut;;;;;;;;;;
145;codelist;;;"""curvat - Curvatura del sito""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#curvat;;;;;;;;;;
