id,Reference,Section,uom,code,qudt_unit,label,procedure,isEquivalentTo,definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
1,General and Surface$A$2,Chapter 8.2.1,,,,"Profile No - Chapter 8.2.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-821,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$A$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,General and Surface$B$2,Chapter 8.2.1,,,,"Date of description - Chapter 8.2.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-821,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$B$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,General and Surface$C$2,Chapter 8.2.1,,,,"Names of describing authors - Chapter 8.2.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-821,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$C$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,General and Surface$D$3,Location,,,,"Name - Location",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-822,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$D$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,General and Surface$E$4,Location,deg,deg,DEG,"Latitude - Location",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-822,https://schema.org/latitude,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$E$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,General and Surface$F$4,Location,deg,deg,DEG,"Longitude - Location",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-822,https://schema.org/longitude,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$F$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,General and Surface$G$3,Location,m,m,M,"Altitude a.s.l. [m] - Location",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-822,http://w3id.org/glosis/model/siteplot/altitude,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$G$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,General and Surface$H$3,Landform and topography,%,cm/m,CentiM-PER-M,"Gradient upslope [%] - Landform and topography",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-823-gr,http://w3id.org/glosis/model/siteplot/SlopeGradientNumeric,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$H$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,General and Surface$I$3,Landform and topography,%,cm/m,CentiM-PER-M,"Gradient downslope [%] - Landform and topography",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-823-gr,http://w3id.org/glosis/model/siteplot/SlopeGradientNumeric,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$I$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,General and Surface$J$3,Landform and topography,codelist,,,"Slope aspect [°] - Landform and topography",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-823-as,http://w3id.org/glosis/model/siteplot/SlopeOrientationNumeric,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$J$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,General and Surface$K$3,Landform and topography,codelist,,,"Slope shape - Landform and topography",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-823-sh,http://w3id.org/glosis/model/siteplot/slopeFormProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$K$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
