fid,Reference,Section,uom,code,qudt_unit,label,procedure,glosis_cl,definition,
1,Layer descriptions$B$2,Chapter 8.4.1,number,{count},,"Number of the layer - Chapter 8.4.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-841,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$B$2,
2,Layer descriptions$C$2,Chapter 8.4.1,cm,cm,CentiM,"Upper boundary [cm] - Chapter 8.4.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-841,http://w3id.org/glosis/model/iso28258/2013/ProfileElement.upperDepth,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$C$2,
3,Layer descriptions$D$2,Chapter 8.4.1,cm,cm,CentiM,"Lower boundary [cm] - Chapter 8.4.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-841,http://w3id.org/glosis/model/iso28258/2013/ProfileElement.lowerDepth,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$D$2,
4,Layer descriptions$E$3,Homogeneity of the layer,codelist,,,"Layer consisting of different parts - Homogeneity of the layer",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-842,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$E$3,
5,Layer descriptions$F$3,Homogeneity of the layer,codelist,[presenceOfStrataWithinALayer],,"Layer composed of several strata of alluvial sediments or of tephra - Homogeneity of the layer",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1826,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$F$3,
6,Layer descriptions$G$3,Water,codelist,[typesOfWaterSaturation],,"Water saturation - Water",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1827,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$G$3,
7,Layer descriptions$H$3,Water,codelist,[soilWaterStatus],,"Soil water status - Water",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1828,http://w3id.org/glosis/model/layerhorizon/moistureContentProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$H$3,
8,Layer descriptions$I$2,Chapter 8.4.4,codelist,[organicHydromorphicAndTerrestrialOrganotechnicAndMineralLayers],,"Organic, organo- technic or mineral layer - Chapter 8.4.4",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1829,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$I$2,
9,Layer descriptions$J$3,Layer boundaries,codelist,,,"Distinctness of the layer s lower boundary - Layer boundaries",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1830,http://w3id.org/glosis/model/layerhorizon/boundaryDistinctnessProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$J$3,
10,Layer descriptions$K$3,Layer boundaries,codelist,,,"Shape - Layer boundaries",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1831,http://w3id.org/glosis/model/layerhorizon/boundaryTopographyProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$K$3,
11,Layer descriptions$L$2,Chapter 8.4.6,codelist,,,"Wind deposition - Chapter 8.4.6",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1832,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$L$2,
12,Layer descriptions$M$4,Coarse fragments,%,daL/m3,,"Total abundance, by volume [%] - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,http://w3id.org/glosis/model/layerhorizon/CoarseFragmentsValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$M$4,
13,Layer descriptions$N$4,Coarse fragments,codelist,,,"Size and shape class 1 (dominant) - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1833,http://w3id.org/glosis/model/layerhorizon/FragmentsClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$N$4,
14,Layer descriptions$O$4,Coarse fragments,codelist,,,"Size and shape class 2 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1833,http://w3id.org/glosis/model/layerhorizon/FragmentsClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$O$4,
15,Layer descriptions$P$4,Coarse fragments,codelist,,,"Size and shape class 3 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1833,http://w3id.org/glosis/model/layerhorizon/FragmentsClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$P$4,
16,Layer descriptions$Q$4,Coarse fragments,codelist,,,"Size and shape class 4 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1833,http://w3id.org/glosis/model/layerhorizon/FragmentsClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$Q$4,
17,Layer descriptions$R$4,Coarse fragments,codelist,,,"Weathering stage of size and shape class 1 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1834,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$R$4,
18,Layer descriptions$S$4,Coarse fragments,codelist,,,"Weathering stage of size and shape class 2 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1834,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$S$4,
19,Layer descriptions$T$4,Coarse fragments,codelist,,,"Weathering stage of size and shape class 3 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1834,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$T$4,
20,Layer descriptions$U$4,Coarse fragments,codelist,,,"Weathering stage of size and shape class 4 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1834,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$U$4,
21,Layer descriptions$V$4,Coarse fragments,%,daL/m3,,"Abundance of size and shape class 1, by volume [%] - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,http://w3id.org/glosis/model/layerhorizon/CoarseFragmentsValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$V$4,
22,Layer descriptions$W$4,Coarse fragments,%,daL/m3,,"Abundance of size and shape class 2, by volume [%] - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,http://w3id.org/glosis/model/layerhorizon/CoarseFragmentsValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$W$4,
23,Layer descriptions$X$4,Coarse fragments,%,daL/m3,,"Abundance of size and shape class 3, by volume [%] - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,http://w3id.org/glosis/model/layerhorizon/CoarseFragmentsValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$X$4,
24,Layer descriptions$Y$4,Coarse fragments,%,daL/m3,,"Abundance of size and shape class 4, by volume [%] - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,http://w3id.org/glosis/model/layerhorizon/CoarseFragmentsValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$Y$4,
25,Layer descriptions$Z$4,Remnants of broken-up cemented layers,%,daL/m3,,"Total abundance, by volume [%] - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$Z$4,
26,Layer descriptions$AA$4,Remnants of broken-up cemented layers,codelist,,,"Cementing agent 1 (dominant) - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1835,http://w3id.org/glosis/model/layerhorizon/cementationNatureProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AA$4,
27,Layer descriptions$AB$4,Remnants of broken-up cemented layers,codelist,,,"Cementing agent 2 - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1835,http://w3id.org/glosis/model/layerhorizon/cementationNatureProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AB$4,
28,Layer descriptions$AC$4,Remnants of broken-up cemented layers,codelist,,,"Size and shape class of remnants cemented by cementing agent 1 - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1833,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AC$4,
29,Layer descriptions$AD$4,Remnants of broken-up cemented layers,codelist,,,"Size and shape class of remnants cemented by cementing agent 2 - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1833,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AD$4,
30,Layer descriptions$AE$4,Remnants of broken-up cemented layers,%,daL/m3,,"Abundance of remnants cemented by cementing agent 1, by volume [%] - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AE$4,
