localid,Language,collection,label,description ,definition,status
AL,en,aspet_antrop,AL,others,others,https://inspire.ec.europa.eu/registry/status/valid
CA,en,aspet_antrop,CA,compacted by animals,compacted by animals,https://inspire.ec.europa.eu/registry/status/valid
CM,en,aspet_antrop,CM,compacted by machines,compacted by machines,https://inspire.ec.europa.eu/registry/status/valid
LS,en,aspet_antrop,LS,leveled or flattened,leveled or flattened,https://inspire.ec.europa.eu/registry/status/valid
SP,en,aspet_antrop,SP,arranged with heaps,arranged with heaps,https://inspire.ec.europa.eu/registry/status/valid
SS,en,aspet_antrop,SS,ploughed,ploughed,https://inspire.ec.europa.eu/registry/status/valid
AL,it,aspet_antrop,AL,altri,altri,https://inspire.ec.europa.eu/registry/status/valid
CA,it,aspet_antrop,CA,compattato da animali,compattato da animali,https://inspire.ec.europa.eu/registry/status/valid
CM,it,aspet_antrop,CM,compattato da macchine,compattato da macchine,https://inspire.ec.europa.eu/registry/status/valid
LS,it,aspet_antrop,LS,livellato o spianato,livellato o spianato,https://inspire.ec.europa.eu/registry/status/valid
SP,it,aspet_antrop,SP,sistemato a porche,sistemato a porche,https://inspire.ec.europa.eu/registry/status/valid
SS,it,aspet_antrop,SS,assolcato,assolcato,https://inspire.ec.europa.eu/registry/status/valid
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
