localid,Language,collection,label,description ,definition,status
1,it,att_bio_tipo,1,mammiferi,mammiferi,https://inspire.ec.europa.eu/registry/status/valid
2,it,att_bio_tipo,2,anellidi,anellidi,https://inspire.ec.europa.eu/registry/status/valid
21,it,att_bio_tipo,21,vermi enchitreidi,vermi enchitreidi,https://inspire.ec.europa.eu/registry/status/valid
22,it,att_bio_tipo,22,vermi epigei,vermi epigei,https://inspire.ec.europa.eu/registry/status/valid
23,it,att_bio_tipo,23,vermi anecici,vermi anecici,https://inspire.ec.europa.eu/registry/status/valid
3,it,att_bio_tipo,3,artropodi,artropodi,https://inspire.ec.europa.eu/registry/status/valid
31,it,att_bio_tipo,31,acari oribatidi,acari oribatidi,https://inspire.ec.europa.eu/registry/status/valid
32,it,att_bio_tipo,32,isopodi,isopodi,https://inspire.ec.europa.eu/registry/status/valid
4,it,att_bio_tipo,4,molluschi,molluschi,https://inspire.ec.europa.eu/registry/status/valid
5,it,att_bio_tipo,5,nematodi,nematodi,https://inspire.ec.europa.eu/registry/status/valid
6,it,att_bio_tipo,6,funghi,funghi,https://inspire.ec.europa.eu/registry/status/valid
7,it,att_bio_tipo,7,non determinato,non determinato,https://inspire.ec.europa.eu/registry/status/valid
8,it,att_bio_tipo,8,carboni,carboni,https://inspire.ec.europa.eu/registry/status/valid
9,it,att_bio_tipo,9,manufatti,manufatti,https://inspire.ec.europa.eu/registry/status/valid
1,en,att_bio_tipo,1,mammals,mammals,https://inspire.ec.europa.eu/registry/status/valid
2,en,att_bio_tipo,2,anellids,anellids,https://inspire.ec.europa.eu/registry/status/valid
21,en,att_bio_tipo,21,enchytraeids worms,enchytraeids worms,https://inspire.ec.europa.eu/registry/status/valid
22,en,att_bio_tipo,22,epigeics worms,epigeics worms,https://inspire.ec.europa.eu/registry/status/valid
23,en,att_bio_tipo,23,oribatids worms,oribatids worms,https://inspire.ec.europa.eu/registry/status/valid
3,en,att_bio_tipo,3,arthropods,arthropods,https://inspire.ec.europa.eu/registry/status/valid
31,en,att_bio_tipo,31,oribatids acarus,oribatids acarus,https://inspire.ec.europa.eu/registry/status/valid
32,en,att_bio_tipo,32,isopods,isopods,https://inspire.ec.europa.eu/registry/status/valid
4,en,att_bio_tipo,4,molluscs,molluscs,https://inspire.ec.europa.eu/registry/status/valid
5,en,att_bio_tipo,5,nematodes,nematodes,https://inspire.ec.europa.eu/registry/status/valid
6,en,att_bio_tipo,6,fungus,fungus,https://inspire.ec.europa.eu/registry/status/valid
7,en,att_bio_tipo,7,undefined,undefined,https://inspire.ec.europa.eu/registry/status/valid
8,en,att_bio_tipo,8,carbons,carbons,https://inspire.ec.europa.eu/registry/status/valid
9,en,att_bio_tipo,9,manufactures,manufactures,https://inspire.ec.europa.eu/registry/status/valid
