localid,Language,collection,label,description ,definition,status
10B,it,col_hue,10B,10B,10B,https://inspire.ec.europa.eu/registry/status/valid
10BG,it,col_hue,10BG,10BG,10BG,https://inspire.ec.europa.eu/registry/status/valid
10G,it,col_hue,10G,10G,10G,https://inspire.ec.europa.eu/registry/status/valid
10GY,it,col_hue,10GY,10GY,10GY,https://inspire.ec.europa.eu/registry/status/valid
10R,it,col_hue,10R,10R,10R,https://inspire.ec.europa.eu/registry/status/valid
10Y,it,col_hue,10Y,10Y,10Y,https://inspire.ec.europa.eu/registry/status/valid
10YR,it,col_hue,10YR,10YR,10YR,https://inspire.ec.europa.eu/registry/status/valid
1Y,it,col_hue,1Y,1Y,1Y,https://inspire.ec.europa.eu/registry/status/valid
"2,5Y",it,col_hue,"2,5Y","2,5Y","2,5Y",https://inspire.ec.europa.eu/registry/status/valid
"2,5YR",it,col_hue,"2,5YR","2,5YR","2,5YR",https://inspire.ec.europa.eu/registry/status/valid
"3,5Y",it,col_hue,"3,5Y","3,5Y","3,5Y",https://inspire.ec.europa.eu/registry/status/valid
"3,75YR",it,col_hue,"3,75YR","3,75YR","3,75YR",https://inspire.ec.europa.eu/registry/status/valid
5B,it,col_hue,5B,5B,5B,https://inspire.ec.europa.eu/registry/status/valid
5BG,it,col_hue,5BG,5BG,5BG,https://inspire.ec.europa.eu/registry/status/valid
5G,it,col_hue,5G,5G,5G,https://inspire.ec.europa.eu/registry/status/valid
5GY,it,col_hue,5GY,5GY,5GY,https://inspire.ec.europa.eu/registry/status/valid
5PB,it,col_hue,5PB,5PB,5PB,https://inspire.ec.europa.eu/registry/status/valid
5Y,it,col_hue,5Y,5Y,5Y,https://inspire.ec.europa.eu/registry/status/valid
5YR,it,col_hue,5YR,5YR,5YR,https://inspire.ec.europa.eu/registry/status/valid
6YR,it,col_hue,6YR,6YR,6YR,https://inspire.ec.europa.eu/registry/status/valid
"7,5YR",it,col_hue,"7,5YR","7,5YR","7,5YR",https://inspire.ec.europa.eu/registry/status/valid
8YR,it,col_hue,8YR,8YR,8YR,https://inspire.ec.europa.eu/registry/status/valid
9YR,it,col_hue,9YR,9YR,9YR,https://inspire.ec.europa.eu/registry/status/valid
N,it,col_hue,N,N,N,https://inspire.ec.europa.eu/registry/status/valid
10B,en,col_hue,10B,10B,10B,https://inspire.ec.europa.eu/registry/status/valid
10BG,en,col_hue,10BG,10BG,10BG,https://inspire.ec.europa.eu/registry/status/valid
10G,en,col_hue,10G,10G,10G,https://inspire.ec.europa.eu/registry/status/valid
10GY,en,col_hue,10GY,10GY,10GY,https://inspire.ec.europa.eu/registry/status/valid
10R,en,col_hue,10R,10R,10R,https://inspire.ec.europa.eu/registry/status/valid
10Y,en,col_hue,10Y,10Y,10Y,https://inspire.ec.europa.eu/registry/status/valid
10YR,en,col_hue,10YR,10YR,10YR,https://inspire.ec.europa.eu/registry/status/valid
1Y,en,col_hue,1Y,1Y,1Y,https://inspire.ec.europa.eu/registry/status/valid
"2,5Y",en,col_hue,"2,5Y","2,5Y","2,5Y",https://inspire.ec.europa.eu/registry/status/valid
"2,5YR",en,col_hue,"2,5YR","2,5YR","2,5YR",https://inspire.ec.europa.eu/registry/status/valid
"3,5Y",en,col_hue,"3,5Y","3,5Y","3,5Y",https://inspire.ec.europa.eu/registry/status/valid
"3,75YR",en,col_hue,"3,75YR","3,75YR","3,75YR",https://inspire.ec.europa.eu/registry/status/valid
5B,en,col_hue,5B,5B,5B,https://inspire.ec.europa.eu/registry/status/valid
5BG,en,col_hue,5BG,5BG,5BG,https://inspire.ec.europa.eu/registry/status/valid
5G,en,col_hue,5G,5G,5G,https://inspire.ec.europa.eu/registry/status/valid
5GY,en,col_hue,5GY,5GY,5GY,https://inspire.ec.europa.eu/registry/status/valid
5PB,en,col_hue,5PB,5PB,5PB,https://inspire.ec.europa.eu/registry/status/valid
5Y,en,col_hue,5Y,5Y,5Y,https://inspire.ec.europa.eu/registry/status/valid
5YR,en,col_hue,5YR,5YR,5YR,https://inspire.ec.europa.eu/registry/status/valid
6YR,en,col_hue,6YR,6YR,6YR,https://inspire.ec.europa.eu/registry/status/valid
"7,5YR",en,col_hue,"7,5YR","7,5YR","7,5YR",https://inspire.ec.europa.eu/registry/status/valid
8YR,en,col_hue,8YR,8YR,8YR,https://inspire.ec.europa.eu/registry/status/valid
9YR,en,col_hue,9YR,9YR,9YR,https://inspire.ec.europa.eu/registry/status/valid
N,en,col_hue,N,N,N,https://inspire.ec.europa.eu/registry/status/valid
