localid,Language,collection,label,description ,definition,status
0009,it,conc_quant,0009,poche (<2%),poche (<2%),https://inspire.ec.europa.eu/registry/status/valid
0020,it,conc_quant,0020,poche (<2%),poche (<2%),https://inspire.ec.europa.eu/registry/status/valid
0200,it,conc_quant,0200,comuni (2-20%),comuni (2-20%),https://inspire.ec.europa.eu/registry/status/valid
0400,it,conc_quant,0400,abbondanti (20-40%),abbondanti (20-40%),https://inspire.ec.europa.eu/registry/status/valid
1000,it,conc_quant,1000,molto abbondanti (>40%),molto abbondanti (>40%),https://inspire.ec.europa.eu/registry/status/valid
0009,en,conc_quant,0009,absent (0%),absent (0%),https://inspire.ec.europa.eu/registry/status/valid
0020,en,conc_quant,0020,few (<2%),few (<2%),https://inspire.ec.europa.eu/registry/status/valid
0200,en,conc_quant,0200,common (2-20%),common (2-20%),https://inspire.ec.europa.eu/registry/status/valid
0400,en,conc_quant,0400,abundant (20-40%),abundant (20-40%),https://inspire.ec.europa.eu/registry/status/valid
1000,en,conc_quant,1000,very abundant (>40%),very abundant (>40%),https://inspire.ec.europa.eu/registry/status/valid
,,,,,,
,,,,,,
,,,,,,
,,,,,,
