localid,Language,collection,label,description ,definition,status
0,it,effervescenza,0,nessuna,nessuna,https://inspire.ec.europa.eu/registry/status/valid
1,it,effervescenza,1,molto debole,molto debole,https://inspire.ec.europa.eu/registry/status/valid
2,it,effervescenza,2,debole,debole,https://inspire.ec.europa.eu/registry/status/valid
3,it,effervescenza,3,notevole,notevole,https://inspire.ec.europa.eu/registry/status/valid
4,it,effervescenza,4,violenta,violenta,https://inspire.ec.europa.eu/registry/status/valid
0,en,effervescenza,0,not effervescent,not effervescent,https://inspire.ec.europa.eu/registry/status/valid
1,en,effervescenza,1,effervescence: very slight,effervescence: very slight,https://inspire.ec.europa.eu/registry/status/valid
2,en,effervescenza,2,effervescence: slight,effervescence: slight,https://inspire.ec.europa.eu/registry/status/valid
3,en,effervescenza,3,effervescence: strong,effervescence: strong,https://inspire.ec.europa.eu/registry/status/valid
4,en,effervescenza,4,effervescence: violent,effervescence: violent,https://inspire.ec.europa.eu/registry/status/valid
