localid,Language,collection,label,description ,definition,status
1,it,eros_area,1,0 - 5 %,0 - 5 %,https://inspire.ec.europa.eu/registry/status/valid
2,it,eros_area,2,5 - 10 %,5 - 10 %,https://inspire.ec.europa.eu/registry/status/valid
3,it,eros_area,3,10 - 25 %,10 - 25 %,https://inspire.ec.europa.eu/registry/status/valid
4,it,eros_area,4,25 - 50 %,25 - 50 %,https://inspire.ec.europa.eu/registry/status/valid
5,it,eros_area,5,> 50 %,> 50 %,https://inspire.ec.europa.eu/registry/status/valid
1,en,eros_area,1,0 - 5 %,0 - 5 %,https://inspire.ec.europa.eu/registry/status/valid
2,en,eros_area,2,5 - 10 %,5 - 10 %,https://inspire.ec.europa.eu/registry/status/valid
3,en,eros_area,3,10 - 25 %,10 - 25 %,https://inspire.ec.europa.eu/registry/status/valid
4,en,eros_area,4,25 - 50 %,25 - 50 %,https://inspire.ec.europa.eu/registry/status/valid
5,en,eros_area,5,> 50 %,> 50 %,https://inspire.ec.europa.eu/registry/status/valid
