localid,Language,collection,label,description ,definition,status
0,it,eros_real,0,assenza di erosione,assenza di erosione,https://inspire.ec.europa.eu/registry/status/valid
1,it,eros_real,1,erosione idrica diffusa (sheet erosion),erosione idrica diffusa (sheet erosion),https://inspire.ec.europa.eu/registry/status/valid
10,it,eros_real,10,erosione di sponda,erosione di sponda,https://inspire.ec.europa.eu/registry/status/valid
11,it,eros_real,11,erosione per lavorazione meccanica,erosione per lavorazione meccanica,https://inspire.ec.europa.eu/registry/status/valid
2,it,eros_real,2,erosione idrica incanalata per rivoli (rill erosion),erosione idrica incanalata per rivoli (rill erosion),https://inspire.ec.europa.eu/registry/status/valid
3,it,eros_real,3,erosione idrica incanalata per burronamenti (gully erosion),erosione idrica incanalata per burronamenti (gully erosion),https://inspire.ec.europa.eu/registry/status/valid
4,it,eros_real,4,erosione idrica sottosuperficiale (tunnel),erosione idrica sottosuperficiale (tunnel),https://inspire.ec.europa.eu/registry/status/valid
5,it,eros_real,5,erosione di massa per crollo,erosione di massa per crollo,https://inspire.ec.europa.eu/registry/status/valid
6,it,eros_real,6,erosione di massa per scivolamento e scoscendimento,erosione di massa per scivolamento e scoscendimento,https://inspire.ec.europa.eu/registry/status/valid
7,it,eros_real,7,soliflussione e creeping,soliflussione e creeping,https://inspire.ec.europa.eu/registry/status/valid
8,it,eros_real,8,erosione eolica,erosione eolica,https://inspire.ec.europa.eu/registry/status/valid
9,it,eros_real,9,erosione carsica,erosione carsica,https://inspire.ec.europa.eu/registry/status/valid
0,en,eros_real,0,absent,absent,https://inspire.ec.europa.eu/registry/status/valid
1,en,eros_real,1,water: sheet erosion moderate,water: sheet erosion moderate,https://inspire.ec.europa.eu/registry/status/valid
10,en,eros_real,10,water: bank erosion,water: bank erosion,https://inspire.ec.europa.eu/registry/status/valid
11,en,eros_real,11,anthropic: process mechanical erosion,anthropic: process mechanical erosion,https://inspire.ec.europa.eu/registry/status/valid
2,en,eros_real,2,water: rill,water: rill,https://inspire.ec.europa.eu/registry/status/valid
3,en,eros_real,3,water: gully,water: gully,https://inspire.ec.europa.eu/registry/status/valid
4,en,eros_real,4,water: tunnel erosion,water: tunnel erosion,https://inspire.ec.europa.eu/registry/status/valid
5,en,eros_real,5,mass: collapse,mass: collapse,https://inspire.ec.europa.eu/registry/status/valid
6,en,eros_real,6,mass: sliding,mass: sliding,https://inspire.ec.europa.eu/registry/status/valid
7,en,eros_real,7,creeping and solifluction,creeping and solifluction,https://inspire.ec.europa.eu/registry/status/valid
8,en,eros_real,8,wind: strong,wind: strong,https://inspire.ec.europa.eu/registry/status/valid
9,en,eros_real,9,karst erosion,karst erosion,https://inspire.ec.europa.eu/registry/status/valid
