localid,Language,collection,label,description ,definition,status
0,it,falda_tipo,0,non compilata,non compilata,https://inspire.ec.europa.eu/registry/status/valid
CO,it,falda_tipo,CO,confinata,confinata,https://inspire.ec.europa.eu/registry/status/valid
NC,it,falda_tipo,NC,non confinata,non confinata,https://inspire.ec.europa.eu/registry/status/valid
SC,it,falda_tipo,SC,semiconfinata,semiconfinata,https://inspire.ec.europa.eu/registry/status/valid
Y,it,falda_tipo,Y,confinata o semiconfinata,confinata o semiconfinata,https://inspire.ec.europa.eu/registry/status/valid
Z,it,falda_tipo,Z,assente,assente,https://inspire.ec.europa.eu/registry/status/valid
0,en,falda_tipo,0,not expressed,not expressed,https://inspire.ec.europa.eu/registry/status/valid
CO,en,falda_tipo,CO,confined,confined,https://inspire.ec.europa.eu/registry/status/valid
NC,en,falda_tipo,NC,not confined,not confined,https://inspire.ec.europa.eu/registry/status/valid
SC,en,falda_tipo,SC,semiconfined,semiconfined,https://inspire.ec.europa.eu/registry/status/valid
Y,en,falda_tipo,Y,confined or semiconfined,confined or semiconfined,https://inspire.ec.europa.eu/registry/status/valid
Z,en,falda_tipo,Z,absent,absent,https://inspire.ec.europa.eu/registry/status/valid
