localid,Language,collection,label,description ,definition,status
0009,it,fessur_dim,0009,molto sottili (,molto sottili (,https://inspire.ec.europa.eu/registry/status/valid
0030,it,fessur_dim,0030,sottili (1-3 mm),sottili (1-3 mm),https://inspire.ec.europa.eu/registry/status/valid
0050,it,fessur_dim,0050,medie (3-5 mm),medie (3-5 mm),https://inspire.ec.europa.eu/registry/status/valid
0100,it,fessur_dim,0100,larghe (6-10 mm),larghe (6-10 mm),https://inspire.ec.europa.eu/registry/status/valid
9999,it,fessur_dim,9999,molto larghe (>10 mm),molto larghe (>10 mm),https://inspire.ec.europa.eu/registry/status/valid
0009,en,fessur_dim,0009,very thin (,very thin (,https://inspire.ec.europa.eu/registry/status/valid
0030,en,fessur_dim,0030,thin (1-3 mm),thin (1-3 mm),https://inspire.ec.europa.eu/registry/status/valid
0050,en,fessur_dim,0050,medium (3-5 mm),medium (3-5 mm),https://inspire.ec.europa.eu/registry/status/valid
0100,en,fessur_dim,0100,wide (6-10 mm),wide (6-10 mm),https://inspire.ec.europa.eu/registry/status/valid
9999,en,fessur_dim,9999,very wide (>10 mm),very wide (>10 mm),https://inspire.ec.europa.eu/registry/status/valid
