localid,Language,collection,label,description ,definition,status
0,it,fisiogr_forma,0,sconosciuto,sconosciuto,https://inspire.ec.europa.eu/registry/status/valid
A00,it,fisiogr_forma,A00,forme di origine antropica,forme di origine antropica,https://inspire.ec.europa.eu/registry/status/valid
AA,it,fisiogr_forma,AA,area di accumulo di origine antropica,area di accumulo di origine antropica,https://inspire.ec.europa.eu/registry/status/valid
AAD,it,fisiogr_forma,AAD,discarica di rifiuti o inerti,discarica di rifiuti o inerti,https://inspire.ec.europa.eu/registry/status/valid
AAR,it,fisiogr_forma,AAR,riporto di materiale terroso,riporto di materiale terroso,https://inspire.ec.europa.eu/registry/status/valid
AE,it,fisiogr_forma,AE,area estrattiva,area estrattiva,https://inspire.ec.europa.eu/registry/status/valid
AEA,it,fisiogr_forma,AEA,cava abbandonata,cava abbandonata,https://inspire.ec.europa.eu/registry/status/valid
AEC,it,fisiogr_forma,AEC,cava attiva,cava attiva,https://inspire.ec.europa.eu/registry/status/valid
AG,it,fisiogr_forma,AG,arginatura per canale o altra opera,arginatura per canale o altra opera,https://inspire.ec.europa.eu/registry/status/valid
AT,it,fisiogr_forma,AT,versante terrazzato,versante terrazzato,https://inspire.ec.europa.eu/registry/status/valid
ATC,it,fisiogr_forma,ATC,versante ciglionato,versante ciglionato,https://inspire.ec.europa.eu/registry/status/valid
ATD,it,fisiogr_forma,ATD,versante terrazzato degradato,versante terrazzato degradato,https://inspire.ec.europa.eu/registry/status/valid
ATI,it,fisiogr_forma,ATI,versante terrazzato integro,versante terrazzato integro,https://inspire.ec.europa.eu/registry/status/valid
ATM,it,fisiogr_forma,ATM,"terrazzamento meccanizzabile, a piani raccordati","terrazzamento meccanizzabile, a piani raccordati",https://inspire.ec.europa.eu/registry/status/valid
AV,it,fisiogr_forma,AV,"livellamento, versante rimodellato","livellamento, versante rimodellato",https://inspire.ec.europa.eu/registry/status/valid
