localid,Language,collection,label,description ,definition,status
A,it,litolpm_comp,A,argilloso,argilloso,https://inspire.ec.europa.eu/registry/status/valid
ACC,it,litolpm_comp,ACC,argilloso ciottoloso,argilloso ciottoloso,https://inspire.ec.europa.eu/registry/status/valid
AEC,it,litolpm_comp,AEC,argilloso estremamente ciottoloso,argilloso estremamente ciottoloso,https://inspire.ec.europa.eu/registry/status/valid
AEG,it,litolpm_comp,AEG,argilloso estremamente ghiaioso,argilloso estremamente ghiaioso,https://inspire.ec.europa.eu/registry/status/valid
AEP,it,litolpm_comp,AEP,argilloso estremamente pietroso,argilloso estremamente pietroso,https://inspire.ec.europa.eu/registry/status/valid
AGG,it,litolpm_comp,AGG,argilloso ghiaioso,argilloso ghiaioso,https://inspire.ec.europa.eu/registry/status/valid
AMC,it,litolpm_comp,AMC,argilloso molto ciottoloso,argilloso molto ciottoloso,https://inspire.ec.europa.eu/registry/status/valid
AMG,it,litolpm_comp,AMG,argilloso molto ghiaioso,argilloso molto ghiaioso,https://inspire.ec.europa.eu/registry/status/valid
AMP,it,litolpm_comp,AMP,argilloso molto pietroso,argilloso molto pietroso,https://inspire.ec.europa.eu/registry/status/valid
APP,it,litolpm_comp,APP,argilloso pietroso,argilloso pietroso,https://inspire.ec.europa.eu/registry/status/valid
FC,it,litolpm_comp,FC,frammentale ciottoloso,frammentale ciottoloso,https://inspire.ec.europa.eu/registry/status/valid
FG,it,litolpm_comp,FG,frammentale ghiaioso,frammentale ghiaioso,https://inspire.ec.europa.eu/registry/status/valid
FP,it,litolpm_comp,FP,frammentale pietroso,frammentale pietroso,https://inspire.ec.europa.eu/registry/status/valid
M,it,litolpm_comp,M,limoso o franco,limoso o franco,https://inspire.ec.europa.eu/registry/status/valid
MCC,it,litolpm_comp,MCC,"limoso o franco, ciottoloso","limoso o franco, ciottoloso",https://inspire.ec.europa.eu/registry/status/valid
MEC,it,litolpm_comp,MEC,"limoso o franco, estremamente ciottoloso","limoso o franco, estremamente ciottoloso",https://inspire.ec.europa.eu/registry/status/valid
MEG,it,litolpm_comp,MEG,"limoso o franco, estremamente ghiaioso","limoso o franco, estremamente ghiaioso",https://inspire.ec.europa.eu/registry/status/valid
MEP,it,litolpm_comp,MEP,"limoso o franco, estremamente pietroso","limoso o franco, estremamente pietroso",https://inspire.ec.europa.eu/registry/status/valid
MGG,it,litolpm_comp,MGG,"limoso o franco, ghiaioso","limoso o franco, ghiaioso",https://inspire.ec.europa.eu/registry/status/valid
MMC,it,litolpm_comp,MMC,"limoso o franco, molto ciottoloso","limoso o franco, molto ciottoloso",https://inspire.ec.europa.eu/registry/status/valid
MMG,it,litolpm_comp,MMG,"limoso o franco, molto ghiaioso","limoso o franco, molto ghiaioso",https://inspire.ec.europa.eu/registry/status/valid
MMP,it,litolpm_comp,MMP,"limoso o franco, molto pietroso","limoso o franco, molto pietroso",https://inspire.ec.europa.eu/registry/status/valid
MPP,it,litolpm_comp,MPP,"limoso o franco, pietroso","limoso o franco, pietroso",https://inspire.ec.europa.eu/registry/status/valid
O,it,litolpm_comp,O,materiale organico,materiale organico,https://inspire.ec.europa.eu/registry/status/valid
S,it,litolpm_comp,S,sabbioso,sabbioso,https://inspire.ec.europa.eu/registry/status/valid
SCC,it,litolpm_comp,SCC,sabbioso ciottoloso,sabbioso ciottoloso,https://inspire.ec.europa.eu/registry/status/valid
SEC,it,litolpm_comp,SEC,sabbioso estremamente ciottoloso,sabbioso estremamente ciottoloso,https://inspire.ec.europa.eu/registry/status/valid
SEG,it,litolpm_comp,SEG,sabbioso estremamente ghiaioso,sabbioso estremamente ghiaioso,https://inspire.ec.europa.eu/registry/status/valid
SEP,it,litolpm_comp,SEP,sabbioso estremamente pietroso,sabbioso estremamente pietroso,https://inspire.ec.europa.eu/registry/status/valid
SGG,it,litolpm_comp,SGG,sabbioso ghiaioso,sabbioso ghiaioso,https://inspire.ec.europa.eu/registry/status/valid
SMC,it,litolpm_comp,SMC,sabbioso molto ciottoloso,sabbioso molto ciottoloso,https://inspire.ec.europa.eu/registry/status/valid
SMG,it,litolpm_comp,SMG,sabbioso molto ghiaioso,sabbioso molto ghiaioso,https://inspire.ec.europa.eu/registry/status/valid
