localid,Language,collection,label,description ,definition,status
0,it,litolpm_orig,0,sconosciuto,sconosciuto,https://inspire.ec.europa.eu/registry/status/valid
AC,it,litolpm_orig,AC,sedimenti marini litoranei,sedimenti marini litoranei,https://inspire.ec.europa.eu/registry/status/valid
ACB,it,litolpm_orig,ACB,depositi cementati da carbonati,depositi cementati da carbonati,https://inspire.ec.europa.eu/registry/status/valid
ACC,it,litolpm_orig,ACC,depositi di canale tidale,depositi di canale tidale,https://inspire.ec.europa.eu/registry/status/valid
ACD,it,litolpm_orig,ACD,sabbie di cordone,sabbie di cordone,https://inspire.ec.europa.eu/registry/status/valid
ACE,it,litolpm_orig,ACE,depositi di estuario,depositi di estuario,https://inspire.ec.europa.eu/registry/status/valid
ACF,it,litolpm_orig,ACF,depositi di falesia o costa alta,depositi di falesia o costa alta,https://inspire.ec.europa.eu/registry/status/valid
ACP,it,litolpm_orig,ACP,depositi di palude salmastra,depositi di palude salmastra,https://inspire.ec.europa.eu/registry/status/valid
ACR,it,litolpm_orig,ACR,depositi cementati da sostanza organica e/o ossidi,depositi cementati da sostanza organica e/o ossidi,https://inspire.ec.europa.eu/registry/status/valid
ACS,it,litolpm_orig,ACS,depositi di spiaggia,depositi di spiaggia,https://inspire.ec.europa.eu/registry/status/valid
ACT,it,litolpm_orig,ACT,depositi di piana tidale,depositi di piana tidale,https://inspire.ec.europa.eu/registry/status/valid
AF,it,litolpm_orig,AF,sedimenti fluviali,sedimenti fluviali,https://inspire.ec.europa.eu/registry/status/valid
AFB,it,litolpm_orig,AFB,depositi di piena a bassa energia,depositi di piena a bassa energia,https://inspire.ec.europa.eu/registry/status/valid
AFC,it,litolpm_orig,AFC,depositi di canale,depositi di canale,https://inspire.ec.europa.eu/registry/status/valid
AFF,it,litolpm_orig,AFF,depositi di conoide,depositi di conoide,https://inspire.ec.europa.eu/registry/status/valid
AFH,it,litolpm_orig,AFH,colmate,colmate,https://inspire.ec.europa.eu/registry/status/valid
AFP,it,litolpm_orig,AFP,depositi di piena ad alta energia,depositi di piena ad alta energia,https://inspire.ec.europa.eu/registry/status/valid
AL,it,litolpm_orig,AL,sedimenti lacustri o fluviolacustri,sedimenti lacustri o fluviolacustri,https://inspire.ec.europa.eu/registry/status/valid
ALC,it,litolpm_orig,ALC,fanghi calcarei,fanghi calcarei,https://inspire.ec.europa.eu/registry/status/valid
ALD,it,litolpm_orig,ALD,fanghi diatomitici,fanghi diatomitici,https://inspire.ec.europa.eu/registry/status/valid
ALF,it,litolpm_orig,ALF,argille e limi fluviolacustri,argille e limi fluviolacustri,https://inspire.ec.europa.eu/registry/status/valid
ALR,it,litolpm_orig,ALR,sedimenti lacustri grossolani,sedimenti lacustri grossolani,https://inspire.ec.europa.eu/registry/status/valid
ALS,it,litolpm_orig,ALS,sabbie fluviolacustri,sabbie fluviolacustri,https://inspire.ec.europa.eu/registry/status/valid
AM,it,litolpm_orig,AM,sedimenti marini,sedimenti marini,https://inspire.ec.europa.eu/registry/status/valid
AMC,it,litolpm_orig,AMC,sedimenti marini con assetto caotico o indifferenziato,sedimenti marini con assetto caotico o indifferenziato,https://inspire.ec.europa.eu/registry/status/valid
AMP,it,litolpm_orig,AMP,argille e limi marini,argille e limi marini,https://inspire.ec.europa.eu/registry/status/valid
AMR,it,litolpm_orig,AMR,sedimenti marini grossolani,sedimenti marini grossolani,https://inspire.ec.europa.eu/registry/status/valid
AMS,it,litolpm_orig,AMS,sabbie marine,sabbie marine,https://inspire.ec.europa.eu/registry/status/valid
AP,it,litolpm_orig,AP,sedimenti palustri,sedimenti palustri,https://inspire.ec.europa.eu/registry/status/valid
APM,it,litolpm_orig,APM,sedimenti palustri prevalentemente minerali,sedimenti palustri prevalentemente minerali,https://inspire.ec.europa.eu/registry/status/valid
APO,it,litolpm_orig,APO,sedimenti palustri prevalentemente organici,sedimenti palustri prevalentemente organici,https://inspire.ec.europa.eu/registry/status/valid
APV,it,litolpm_orig,APV,sedimenti palustri misti,sedimenti palustri misti,https://inspire.ec.europa.eu/registry/status/valid
AV,it,litolpm_orig,AV,depositi di versante,depositi di versante,https://inspire.ec.europa.eu/registry/status/valid
AVA,it,litolpm_orig,AVA,alluvioni di versante,alluvioni di versante,https://inspire.ec.europa.eu/registry/status/valid
AVG,it,litolpm_orig,AVG,glacis d’accumulo,glacis d’accumulo,https://inspire.ec.europa.eu/registry/status/valid
CF,it,litolpm_orig,CF,depositi di frana,depositi di frana,https://inspire.ec.europa.eu/registry/status/valid
CL,it,litolpm_orig,CL,depositi di colata,depositi di colata,https://inspire.ec.europa.eu/registry/status/valid
CLD,it,litolpm_orig,CLD,colata di detrito,colata di detrito,https://inspire.ec.europa.eu/registry/status/valid
CLT,it,litolpm_orig,CLT,colata di fango,colata di fango,https://inspire.ec.europa.eu/registry/status/valid
CO,it,litolpm_orig,CO,colluvio,colluvio,https://inspire.ec.europa.eu/registry/status/valid
COA,it,litolpm_orig,COA,depositi da lavorazioni agricole,depositi da lavorazioni agricole,https://inspire.ec.europa.eu/registry/status/valid
COV,it,litolpm_orig,COV,colluvio di versante,colluvio di versante,https://inspire.ec.europa.eu/registry/status/valid
CR,it,litolpm_orig,CR,depositi di crollo,depositi di crollo,https://inspire.ec.europa.eu/registry/status/valid
DA,it,litolpm_orig,DA,depositi antropici,depositi antropici,https://inspire.ec.europa.eu/registry/status/valid
DAA,it,litolpm_orig,DAA,riporti di terra a fini agricoli,riporti di terra a fini agricoli,https://inspire.ec.europa.eu/registry/status/valid
DAC,it,litolpm_orig,DAC,inerti di cava,inerti di cava,https://inspire.ec.europa.eu/registry/status/valid
DAI,it,litolpm_orig,DAI,scarti di miniera o industriali,scarti di miniera o industriali,https://inspire.ec.europa.eu/registry/status/valid
DAR,it,litolpm_orig,DAR,rifiuti,rifiuti,https://inspire.ec.europa.eu/registry/status/valid
DAU,it,litolpm_orig,DAU,riporti di terra a fini non agricoli,riporti di terra a fini non agricoli,https://inspire.ec.europa.eu/registry/status/valid
DF,it,litolpm_orig,DF,depositi freato-magmatici,depositi freato-magmatici,https://inspire.ec.europa.eu/registry/status/valid
DP,it,litolpm_orig,DP,depositi del vulcanismo esplosivo (piroclastico),depositi del vulcanismo esplosivo (piroclastico),https://inspire.ec.europa.eu/registry/status/valid
DPC,it,litolpm_orig,DPC,ceneri da caduta o da flusso piroclastico (surge),ceneri da caduta o da flusso piroclastico (surge),https://inspire.ec.europa.eu/registry/status/valid
DPL,it,litolpm_orig,DPL,lahar,lahar,https://inspire.ec.europa.eu/registry/status/valid
DPP,it,litolpm_orig,DPP,depositi piroclastici da caduta,depositi piroclastici da caduta,https://inspire.ec.europa.eu/registry/status/valid
