localid,Language,collection,label,description ,definition,status
1,it,pell_loc,1,tra i granuli (ponti),tra i granuli (ponti),https://inspire.ec.europa.eu/registry/status/valid
2,it,pell_loc,2,nei pori,nei pori,https://inspire.ec.europa.eu/registry/status/valid
3,it,pell_loc,3,sulle facce degli aggregati,sulle facce degli aggregati,https://inspire.ec.europa.eu/registry/status/valid
4,it,pell_loc,4,a lamelle,a lamelle,https://inspire.ec.europa.eu/registry/status/valid
5,it,pell_loc,5,sullo scheletro,sullo scheletro,https://inspire.ec.europa.eu/registry/status/valid
1,en,pell_loc,1,on peds (bridges),on peds (bridges),https://inspire.ec.europa.eu/registry/status/valid
2,en,pell_loc,2,on pores,on pores,https://inspire.ec.europa.eu/registry/status/valid
3,en,pell_loc,3,on faces of aggregates,on faces of aggregates,https://inspire.ec.europa.eu/registry/status/valid
4,en,pell_loc,4,platy,platy,https://inspire.ec.europa.eu/registry/status/valid
5,en,pell_loc,5,on coarse fragments,on coarse fragments,https://inspire.ec.europa.eu/registry/status/valid
