localid,Language,collection,label,description ,definition,status
1,it,permeab,1,molto alta (>100 µm/s),molto alta (>100 µm/s),https://inspire.ec.europa.eu/registry/status/valid
2,it,permeab,2,alta (10-100 µm/s),alta (10-100 µm/s),https://inspire.ec.europa.eu/registry/status/valid
3,it,permeab,3,mod. alta (1-10 µm/s),mod. alta (1-10 µm/s),https://inspire.ec.europa.eu/registry/status/valid
4,it,permeab,4,"mod. bassa (0,1-1 µm/s)","mod. bassa (0,1-1 µm/s)",https://inspire.ec.europa.eu/registry/status/valid
5,it,permeab,5,"bassa (0,01-0,1 µm/s)","bassa (0,01-0,1 µm/s)",https://inspire.ec.europa.eu/registry/status/valid
6,it,permeab,6,molto bassa (,molto bassa (,https://inspire.ec.europa.eu/registry/status/valid
1,en,permeab,1,very high,very high,https://inspire.ec.europa.eu/registry/status/valid
2,en,permeab,2,high,high,https://inspire.ec.europa.eu/registry/status/valid
3,en,permeab,3,moderately high,moderately high,https://inspire.ec.europa.eu/registry/status/valid
4,en,permeab,4,moderately low,moderately low,https://inspire.ec.europa.eu/registry/status/valid
5,en,permeab,5,low,low,https://inspire.ec.europa.eu/registry/status/valid
6,en,permeab,6,very low,very low,https://inspire.ec.europa.eu/registry/status/valid
