localid,Language,collection,label,description ,definition,status
0001,it,pori_quanti,0001,"molto scarsi (<0,1%)","molto scarsi (<0,1%)",https://inspire.ec.europa.eu/registry/status/valid
0005,it,pori_quanti,0005,"scarsi (0,1-0,5%)","scarsi (0,1-0,5%)",https://inspire.ec.europa.eu/registry/status/valid
0020,it,pori_quanti,0020,"comuni (0,5-2%)","comuni (0,5-2%)",https://inspire.ec.europa.eu/registry/status/valid
0050,it,pori_quanti,0050,abbondanti (2-5%),abbondanti (2-5%),https://inspire.ec.europa.eu/registry/status/valid
1000,it,pori_quanti,1000,molto abbondanti (>5%),molto abbondanti (>5%),https://inspire.ec.europa.eu/registry/status/valid
0001,en,pori_quanti,0001,very few (<0.1%),very few (<0.1%),https://inspire.ec.europa.eu/registry/status/valid
0005,en,pori_quanti,0005,few (0.1-0.5%),few (0.1-0.5%),https://inspire.ec.europa.eu/registry/status/valid
0020,en,pori_quanti,0020,common (0.5-2%),common (0.5-2%),https://inspire.ec.europa.eu/registry/status/valid
0050,en,pori_quanti,0050,abundant (2-5%),abundant (2-5%),https://inspire.ec.europa.eu/registry/status/valid
1000,en,pori_quanti,1000,very abundant (>5%),very abundant (>5%),https://inspire.ec.europa.eu/registry/status/valid
