localid,Language,collection,label,description ,definition,status
0,it,radici_andamento,0,caotico,caotico,https://inspire.ec.europa.eu/registry/status/valid
1,it,radici_andamento,1,orizzontale,orizzontale,https://inspire.ec.europa.eu/registry/status/valid
2,it,radici_andamento,2,suborizzontale,suborizzontale,https://inspire.ec.europa.eu/registry/status/valid
3,it,radici_andamento,3,verticale,verticale,https://inspire.ec.europa.eu/registry/status/valid
4,it,radici_andamento,4,subverticale,subverticale,https://inspire.ec.europa.eu/registry/status/valid
0,en,radici_andamento,0,caotic,caotic,https://inspire.ec.europa.eu/registry/status/valid
1,en,radici_andamento,1,horizontal,horizontal,https://inspire.ec.europa.eu/registry/status/valid
2,en,radici_andamento,2,subhorizontal,subhorizontal,https://inspire.ec.europa.eu/registry/status/valid
3,en,radici_andamento,3,vertical,vertical,https://inspire.ec.europa.eu/registry/status/valid
4,en,radici_andamento,4,subvertical,subvertical,https://inspire.ec.europa.eu/registry/status/valid
