localid,Language,collection,label,description ,definition,status
0001,it,radici_dim,0001,molto fini (,molto fini (,https://inspire.ec.europa.eu/registry/status/valid
0009,it,radici_dim,0009,molto fini (,molto fini (,https://inspire.ec.europa.eu/registry/status/valid
0020,it,radici_dim,0020,fini (1-2 mm),fini (1-2 mm),https://inspire.ec.europa.eu/registry/status/valid
0050,it,radici_dim,0050,medie (3-5 mm),medie (3-5 mm),https://inspire.ec.europa.eu/registry/status/valid
0100,it,radici_dim,0100,grossolane (6-10 mm),grossolane (6-10 mm),https://inspire.ec.europa.eu/registry/status/valid
9999,it,radici_dim,9999,molto grossolane (>10 mm),molto grossolane (>10 mm),https://inspire.ec.europa.eu/registry/status/valid
0001,en,radici_dim,0001,very fine (,very fine (,https://inspire.ec.europa.eu/registry/status/valid
0009,en,radici_dim,0009,very fine (,very fine (,https://inspire.ec.europa.eu/registry/status/valid
0020,en,radici_dim,0020,fine (1-2 mm),fine (1-2 mm),https://inspire.ec.europa.eu/registry/status/valid
0050,en,radici_dim,0050,medium (3-5 mm),medium (3-5 mm),https://inspire.ec.europa.eu/registry/status/valid
0100,en,radici_dim,0100,coarse (6-10 mm),coarse (6-10 mm),https://inspire.ec.europa.eu/registry/status/valid
9999,en,radici_dim,9999,very coarse (>10 mm),very coarse (>10 mm),https://inspire.ec.europa.eu/registry/status/valid
