localid,Language,collection,label,description ,definition,status
1,it,roccia_prof,1,molto superficiale (,molto superficiale (,https://inspire.ec.europa.eu/registry/status/valid
2,it,roccia_prof,2,superficiale (25-50 cm),superficiale (25-50 cm),https://inspire.ec.europa.eu/registry/status/valid
3,it,roccia_prof,3,mod. profondo (50-100 cm),mod. profondo (50-100 cm),https://inspire.ec.europa.eu/registry/status/valid
4,it,roccia_prof,4,profondo (100-150 cm),profondo (100-150 cm),https://inspire.ec.europa.eu/registry/status/valid
5,it,roccia_prof,5,molto profondo (>150 cm),molto profondo (>150 cm),https://inspire.ec.europa.eu/registry/status/valid
1,en,roccia_prof,1,very superficial (,very superficial (,https://inspire.ec.europa.eu/registry/status/valid
2,en,roccia_prof,2,superficial (25-50 cm),superficial (25-50 cm),https://inspire.ec.europa.eu/registry/status/valid
3,en,roccia_prof,3,moderately deep (50-100 cm),moderately deep (50-100 cm),https://inspire.ec.europa.eu/registry/status/valid
4,en,roccia_prof,4,deep (100-150 cm),deep (100-150 cm),https://inspire.ec.europa.eu/registry/status/valid
5,en,roccia_prof,5,very deep (>150 cm),very deep (>150 cm),https://inspire.ec.europa.eu/registry/status/valid
